                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1476,                0.66917,                 0.9341,                0.71131,                0.46908,                0.52228,                0.30231,                 1.1447,                0.62588,                0.91913,               0.004225,               0.004225,               0.004225
                     38,                 1.1452,                0.66462,                0.93291,                 0.7138,                0.46796,                0.52357,                0.30295,                  1.144,                0.62534,                0.91892,                0.00406,                0.00406,                0.00406
                     39,                 1.1444,                0.66271,                0.93248,                0.71467,                0.46903,                0.52419,                0.30344,                 1.1435,                0.62473,                0.91864,               0.003895,               0.003895,               0.003895
                     40,                 1.1428,                0.66109,                0.93085,                0.71129,                0.47025,                0.52459,                  0.304,                 1.1429,                0.62413,                0.91837,                0.00373,                0.00373,                0.00373
                     41,                 1.1393,                0.65825,                0.93055,                0.71326,                0.47159,                0.52547,                0.30425,                 1.1424,                 0.6236,                0.91807,               0.003565,               0.003565,               0.003565
                     42,                 1.1373,                0.65579,                0.92984,                0.71345,                0.47237,                0.52588,                0.30483,                  1.142,                0.62321,                0.91781,                 0.0034,                 0.0034,                 0.0034
                     43,                 1.1366,                0.65442,                0.92953,                 0.7148,                0.47051,                0.52615,                0.30536,                 1.1414,                0.62272,                0.91757,               0.003235,               0.003235,               0.003235
                     44,                 1.1339,                0.65143,                0.92903,                0.71825,                0.47123,                0.52726,                0.30598,                  1.141,                0.62228,                0.91745,                0.00307,                0.00307,                0.00307
                     45,                 1.1322,                0.64842,                0.92754,                0.71998,                0.46908,                0.52743,                0.30639,                 1.1405,                0.62177,                0.91715,               0.002905,               0.002905,               0.002905
                     46,                 1.1288,                0.64617,                0.92662,                 0.7178,                0.47179,                0.52827,                0.30676,                 1.1401,                0.62146,                0.91676,                0.00274,                0.00274,                0.00274
                     47,                 1.1276,                0.64301,                0.92594,                0.71909,                0.47109,                0.52874,                 0.3071,                 1.1396,                0.62109,                 0.9164,               0.002575,               0.002575,               0.002575
                     48,                 1.1241,                0.63902,                0.92521,                0.71533,                0.47323,                0.52936,                0.30754,                 1.1391,                0.62071,                0.91605,                0.00241,                0.00241,                0.00241
                     49,                 1.1216,                0.63744,                0.92572,                0.71517,                 0.4726,                 0.5296,                0.30807,                 1.1386,                0.62048,                0.91596,               0.002245,               0.002245,               0.002245
                     50,                 1.1205,                0.63476,                0.92385,                0.71645,                0.47357,                0.53021,                0.30839,                 1.1383,                 0.6201,                0.91567,                0.00208,                0.00208,                0.00208
                     51,                 1.1576,                 0.6401,                0.92725,                0.71915,                0.47247,                0.53101,                0.30886,                 1.1379,                0.61997,                0.91544,               0.001915,               0.001915,               0.001915
                     52,                 1.1556,                 0.6363,                0.92695,                0.72259,                0.46971,                0.53121,                0.30895,                 1.1375,                0.62007,                 0.9153,                0.00175,                0.00175,                0.00175
                     53,                 1.1518,                0.63224,                0.92482,                0.72267,                0.47086,                0.53168,                0.30907,                 1.1371,                0.62018,                0.91513,               0.001585,               0.001585,               0.001585
                     54,                 1.1478,                0.62812,                0.92354,                0.72461,                0.46958,                0.53199,                0.30916,                 1.1367,                0.62026,                0.91493,                0.00142,                0.00142,                0.00142
                     55,                 1.1446,                0.62332,                0.92228,                0.72654,                0.46978,                0.53232,                0.30936,                 1.1364,                0.62034,                 0.9147,               0.001255,               0.001255,               0.001255
                     56,                 1.1401,                0.61858,                0.92221,                0.72805,                0.47031,                0.53267,                0.30943,                 1.1362,                0.62026,                0.91463,                0.00109,                0.00109,                0.00109
                     57,                 1.1371,                0.61447,                0.91976,                0.72421,                0.47192,                0.53319,                 0.3095,                  1.136,                0.62031,                0.91444,               0.000925,               0.000925,               0.000925
                     58,                 1.1337,                0.61007,                0.91891,                0.72668,                0.47037,                0.53332,                0.30966,                 1.1359,                0.62032,                0.91421,                0.00076,                0.00076,                0.00076
                     59,                 1.1302,                  0.605,                 0.9181,                0.73007,                0.47109,                0.53398,                0.30968,                 1.1357,                0.62038,                0.91405,               0.000595,               0.000595,               0.000595
                     60,                 1.1266,                  0.601,                0.91643,                 0.7322,                0.47062,                0.53421,                 0.3096,                 1.1357,                0.62028,                0.91384,                0.00043,                0.00043,                0.00043
