                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1574,                0.63905,                0.92989,                0.71497,                0.45672,                0.50946,                0.29416,                 1.1476,                0.64718,                0.91686,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.1771,                0.66436,                0.93502,                0.70432,                 0.4443,                 0.4967,                0.28084,                 1.1731,                0.67641,                0.92622,              0.0063338,              0.0063338,              0.0063338
                      3,                 1.2128,                0.70745,                0.94737,                0.68147,                0.40715,                0.44961,                0.25147,                 1.2132,                0.72575,                0.94038,              0.0090073,              0.0090073,              0.0090073
                      4,                 1.2479,                0.74802,                0.96062,                0.65896,                0.40995,                0.44969,                0.25325,                 1.2063,                0.71926,                0.94124,               0.008515,               0.008515,               0.008515
                      5,                 1.2486,                0.74894,                0.96111,                0.69663,                0.41113,                 0.4606,                0.25964,                 1.1967,                0.70497,                 0.9369,               0.008515,               0.008515,               0.008515
                      6,                 1.2434,                 0.7418,                0.95882,                0.68954,                0.42715,                0.47169,                 0.2665,                 1.1897,                0.69653,                 0.9363,                0.00802,                0.00802,                0.00802
                      7,                 1.2374,                0.73557,                0.95655,                0.70665,                 0.4263,                 0.4811,                0.27383,                 1.1767,                 0.6832,                0.93189,               0.007525,               0.007525,               0.007525
                      8,                 1.2324,                0.72856,                0.95498,                0.68861,                0.44118,                0.48948,                0.27962,                  1.168,                0.66891,                0.92733,                0.00703,                0.00703,                0.00703
                      9,                  1.226,                0.72185,                0.95209,                0.70102,                0.44359,                0.49261,                0.28294,                 1.1596,                0.66031,                0.92529,               0.006535,               0.006535,               0.006535
                     10,                  1.221,                0.71565,                0.95139,                0.70447,                 0.4482,                0.50062,                0.28685,                 1.1554,                0.65388,                0.92464,                0.00604,                0.00604,                0.00604
                     11,                 1.2123,                0.70578,                0.94824,                0.70647,                0.45471,                0.50625,                0.29187,                 1.1515,                0.64751,                  0.922,               0.005545,               0.005545,               0.005545
                     12,                 1.2067,                0.69921,                0.94573,                0.71462,                0.45626,                0.50891,                0.29359,                  1.148,                0.64313,                0.92149,                0.00505,                0.00505,                0.00505
                     13,                 1.2011,                 0.6924,                0.94297,                0.72851,                0.45399,                0.51035,                0.29528,                 1.1453,                0.63921,                0.91937,               0.004555,               0.004555,               0.004555
                     14,                 1.1958,                0.68573,                0.94124,                0.72353,                0.45759,                0.51262,                0.29589,                 1.1435,                0.63691,                0.91844,                0.00406,                0.00406,                0.00406
                     15,                 1.1908,                0.67958,                0.93914,                0.72038,                0.46193,                0.51625,                0.29801,                 1.1421,                0.63504,                0.91758,               0.003565,               0.003565,               0.003565
                     16,                 1.1832,                0.67122,                0.93577,                0.71873,                0.46638,                0.51776,                0.29919,                 1.1407,                0.63319,                 0.9168,                0.00307,                0.00307,                0.00307
                     17,                 1.1784,                0.66488,                0.93588,                0.71588,                0.46781,                0.51843,                0.30043,                 1.1396,                0.63166,                0.91637,               0.002575,               0.002575,               0.002575
                     18,                 1.1715,                0.65736,                0.93372,                0.71927,                0.46624,                0.51931,                0.30071,                 1.1385,                0.63042,                0.91618,                0.00208,                0.00208,                0.00208
                     19,                 1.1651,                0.64859,                0.93185,                 0.7174,                 0.4678,                 0.5199,                0.30133,                 1.1377,                0.62953,                0.91597,               0.001585,               0.001585,               0.001585
                     20,                 1.1563,                0.63956,                0.92865,                0.72063,                0.46694,                0.52037,                0.30168,                  1.137,                0.62868,                0.91578,                0.00109,                0.00109,                0.00109
